"Year","PDO1","PDO2","PDO3","species","catch"
1974,-1.212,-0.8,-0.676,"Sockeye",-1.09095459539737
1975,-0.388,-0.864,-0.98,"Sockeye",-0.619573976018182
1976,-1.34,-0.106,-0.2,"Sockeye",-0.565447063245034
1977,1.128,0.743,0.0486666666666665,"Sockeye",-1.17554315059179
1978,0.358,-0.118,0.297333333333333,"Sockeye",-0.372149795934295
1979,-0.594,-0.117,0.0413333333333332,"Sockeye",-0.220263863677893
1980,0.36,0.645,0.232,"Sockeye",0.391455843683024
1981,0.93,0.543,0.482,"Sockeye",0.534849462231137
1982,0.156,0.325,0.526666666666667,"Sockeye",0.326117591433116
1983,0.494,0.955,0.688666666666666,"Sockeye",0.440106161881791
1984,1.416,0.92,0.778,"Sockeye",0.624271791335816
1985,0.424,0.581,0.859333333333333,"Sockeye",1.11574280513036
1986,0.738,1.119,0.887333333333333,"Sockeye",0.696955576037234
1987,1.5,1.058,0.951333333333333,"Sockeye",0.589875916320609
1988,0.616,-0.115,0.423333333333333,"Sockeye",0.967257353467296
1989,-0.846,-0.799,-0.327333333333333,"Sockeye",0.921523328097847
1990,-0.752,-1.189,-1.07466666666667,"Sockeye",1.5433456961794
1991,-1.626,-0.764,-0.76,"Sockeye",1.29300373370769
1992,0.098,0.204,-0.406,"Sockeye",0.674524054856417
1993,0.31,0.475,0.349333333333333,"Sockeye",0.870429016776217
1994,0.64,-0.142,0.0086666666666666,"Sockeye",1.17995254316121
1995,-0.924,-0.155,0.11,"Sockeye",0.968605408433609
1996,0.614,0.455,-0.00466666666666675,"Sockeye",0.275445420497896
1997,0.296,0.783,0.726666666666667,"Sockeye",1.02386931431597
1998,1.27,0.159,0.204666666666667,"Sockeye",0.181276542011105
1999,-0.952,-1.268,-0.422,"Sockeye",0.219535125462228
2000,-1.584,-0.853,-0.886,"Sockeye",0.031000687169544
2001,-0.122,-0.553,-0.896666666666667,"Sockeye",0.725165138918625
2002,-0.984,0.173,0.0746666666666665,"Sockeye",0.905664521035104
2003,1.33,0.539,0.0313333333333332,"Sockeye",0.851407764885142
2004,-0.252,-0.251,0.276,"Sockeye",0.13239602902865
2005,-0.25,-0.299,-0.283333333333333,"Sockeye",0.664152620684382
2006,-0.348,-0.542,-0.444666666666667,"Sockeye",-0.117653692606078
2007,-0.736,-1.004,-0.785333333333333,"Sockeye",-0.0121421625977012
2008,-1.272,-1.473,-1.22733333333333,"Sockeye",-0.0285915789651782
2009,-1.674,-0.989,-1.08333333333333,"Sockeye",1.01805831940253
2010,-0.304,-0.957,-1.196,"Sockeye",0.648656662560258
2011,-1.61,-1.79,-1.29466666666667,"Sockeye",0.569168392970752
2012,-1.97,-1.511,-1.544,"Sockeye",0.495147277372777
2013,-1.052,-0.831,-1.21066666666667,"Sockeye",0.860670872091326
2014,-0.61,0.525,-0.000666666666666875,"Sockeye",0.508817016161011
2015,1.66,1.263,0.638666666666666,"Sockeye",0.194911389528533
2016,0.866,0.611,0.960666666666667,"Sockeye",-0.8579917127432
2017,0.356,0.08,0.342,"Sockeye",-0.0210180378246596
2018,-0.196,-0.275,-0.0646666666666668,"Sockeye",NA
2019,-0.354,-0.55575,-0.435833333333333,"Sockeye",NA
