Year,SST1,SST2,SST3,species,catch
2005,5.892942831,5.83823334,5.856108921,Pink-odd,NA
2006,5.783523848,5.486141241,5.621741771,Pink-odd,0.813504272
2007,5.188758634,5.166726227,5.372325434,Pink-odd,NA
2008,5.144693819,5.049024777,5.095602729,Pink-odd,0.377031795
2009,4.953355734,5.35126917,5.28241072,Pink-odd,NA
2010,5.749182606,5.732218415,5.472597521,Pink-odd,0.580917973
2011,5.715254224,5.310382,5.456648869,Pink-odd,NA
2012,4.905509777,5.222226702,5.386569209,Pink-odd,1.284987483
2013,5.538943628,5.775592495,5.485564922,Pink-odd,NA
2014,6.012241361,6.5648141,6.222857276,Pink-odd,1.121877499
2015,7.117386838,6.972531136,6.652434545,Pink-odd,NA
2016,6.827675434,6.690027676,6.83248073,Pink-odd,0.803921669
2017,6.552379918,6.368290843,6.52141904,Pink-odd,NA
2018,6.184201769,6.620970331,6.59810686,Pink-odd,0.512240806
2019,7.057738893,NA,NA,Pink-odd,NA
1963,6.121237871,6.225244324,5.997897781,Sockeye,-1.145126185
1964,6.329250777,5.636860949,5.798319923,Sockeye,-1.089345703
1965,4.944471121,5.194273604,5.572599328,Sockeye,-1.679216379
1966,5.444076087,5.354836975,5.218048357,Sockeye,-1.237478485
1967,5.265597864,5.451372963,5.448940671,Sockeye,-1.483543881
1968,5.637148063,5.189118252,5.214611456,Sockeye,-0.728793235
1969,4.741088442,5.39083882,5.472941901,Sockeye,-1.580948829
1970,6.040589198,5.689173546,5.373145178,Sockeye,-1.69209134
1971,5.337757894,4.934274256,5.303045903,Sockeye,-1.908936028
1972,4.530790618,4.748310283,4.94479282,Sockeye,-2.084647528
1973,4.965829949,4.994233951,4.83975284,Sockeye,-2.731902154
1974,5.022637953,5.225162943,5.138718612,Sockeye,-1.090954595
1975,5.427687933,5.200905891,5.141483245,Sockeye,-0.619573976
1976,4.974123848,5.46962217,5.455644091,Sockeye,-0.565447063
1977,5.965120492,5.666879335,5.43596084,Sockeye,-1.175543151
1978,5.368638179,5.553368017,5.690618842,Sockeye,-0.372149796
1979,5.738097855,5.796978448,5.654198358,Sockeye,-0.220263864
1980,5.85585904,5.915130234,5.856119441,Sockeye,0.391455844
1981,5.974401427,5.860888378,5.859211932,Sockeye,0.534849462
1982,5.747375329,5.773553778,5.840502994,Sockeye,0.326117591
1983,5.799732227,6.031696157,5.936922547,Sockeye,0.440106162
1984,6.263660087,6.253619974,6.102324058,Sockeye,0.624271791
1985,6.243579861,5.893192603,6.016681764,Sockeye,1.115742805
